 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
0 S82sub8_59.12_cand5978 Unknown Unknown Unknown Unknown
1 S82sub8_59.12_cand1963 Unknown Unknown Unknown Unknown
2 S82sub8_59.12_cand6477 Unknown Unknown Unknown Unknown
3 S82sub8_59.12_cand6439 Unknown Unknown Unknown Unknown
4 S82sub8_59.12_cand5518 Unknown Unknown Unknown Unknown
5 S82sub8_59.12_cand6209 Unknown Unknown Unknown Unknown
6 S82sub8_59.12_cand1748 Unknown Unknown Unknown Unknown
7 S82sub8_59.12_cand7117 Unknown Unknown Unknown Unknown
8 S82sub8_59.12_cand122 Unknown Unknown Unknown Unknown
9 S82sub8_59.12_cand4361 Unknown Unknown Unknown Unknown
10 S82sub8_59.12_cand2017 Unknown Unknown Unknown Unknown
11 S82sub8_59.12_cand7159 Unknown Unknown Unknown Unknown
12 S82sub8_59.12_cand6796 Unknown Unknown Unknown Unknown
13 S82sub8_59.12_cand2494 Unknown Unknown Unknown Unknown
14 S82sub8_59.12_cand4551 Unknown Unknown Unknown Unknown
15 S82sub8_59.12_cand6823 Unknown Unknown Unknown Unknown
16 S82sub8_59.12_cand6397 Unknown Unknown Unknown Unknown
17 S82sub8_59.12_cand1805 Unknown Unknown Unknown Unknown
18 S82sub8_59.12_cand6895 Unknown Unknown Unknown Unknown
19 S82sub8_59.12_cand3092 Unknown Unknown Unknown Unknown
20 S82sub8_59.12_cand471 Unknown Unknown Unknown Unknown
21 S82sub8_59.12_cand1581 Unknown Unknown Unknown Unknown
22 S82sub8_59.12_cand3138 Unknown Unknown Unknown Unknown
23 S82sub8_59.12_cand726 Unknown Unknown Unknown Unknown
24 S82sub8_59.12_cand5729 Unknown Unknown Unknown Unknown
25 S82sub8_59.12_cand3176 Unknown Unknown Unknown Unknown
26 S82sub8_59.12_cand846 Unknown Unknown Unknown Unknown
27 S82sub8_59.12_cand1765 Unknown Unknown Unknown Unknown
28 S82sub8_59.12_cand695 Unknown Unknown Unknown Unknown
29 S82sub8_59.12_cand5100 Unknown Unknown Unknown Unknown
30 S82sub8_59.12_cand5583 Unknown Unknown Unknown Unknown
31 S82sub8_59.12_cand6292 Unknown Unknown Unknown Unknown
32 S82sub8_59.12_cand914 Unknown Unknown Unknown Unknown
33 S82sub8_59.12_cand6990 Unknown Unknown Unknown Unknown
34 S82sub8_59.12_cand2271 Unknown Unknown Unknown Unknown
35 S82sub8_59.12_cand574 Unknown Unknown Unknown Unknown
36 S82sub8_59.12_cand2441 Unknown Unknown Unknown Unknown
37 S82sub8_59.12_cand1350 Unknown Unknown Unknown Unknown
38 S82sub8_59.12_cand1866 Unknown Unknown Unknown Unknown
39 S82sub8_59.12_cand5999 Unknown Unknown Unknown Unknown
40 S82sub8_59.12_cand1982 Unknown Unknown Unknown Unknown
41 S82sub8_59.12_cand78 Unknown Unknown Unknown Unknown
42 S82sub8_59.12_cand4882 Unknown Unknown Unknown Unknown
43 S82sub8_59.12_cand412 Unknown Unknown Unknown Unknown
44 S82sub8_59.12_cand7140 Unknown Unknown Unknown Unknown
45 S82sub8_59.12_cand1406 Unknown Unknown Unknown Unknown
46 S82sub8_59.12_cand6015 Unknown Unknown Unknown Unknown
47 S82sub8_59.12_cand5704 Unknown Unknown Unknown Unknown
48 S82sub8_59.12_cand6572 Unknown Unknown Unknown Unknown
49 S82sub8_59.12_cand5885 Unknown Unknown Unknown Unknown
